column,inferred_dtype,non_null,distinct,example_values,description
2023 Civilian Population Age 16+ in Labor Force (Esri),integer,26,26,"76849, 30249, 85719",
2023 Employed Civilian Population Age 16+ (Esri),integer,26,26,"73551, 28825, 82420",
2023 Unemployed Population Age 16+ (Esri),integer,26,26,"3298, 1424, 3299",
2023 Unemployment Rate (Esri),float,26,19,"4.3, 4.7, 3.8",
2023 Civilian Population 16-24 in Labor Force (Esri),integer,26,26,"9359, 4677, 11838",
2023 Employed Civilian Population Age 16-24 (Esri),integer,26,26,"8227, 4223, 11049",
2023 Unemployed Population Age 16-24 (Esri),integer,26,26,"1132, 454, 789",
2023 Unemployment Rate: Population Age 16-24 (Esri),float,26,23,"12.1, 9.7, 6.7",
2023 Civilian Population 25-54 in Labor Force (Esri),integer,26,26,"50026, 18076, 55111",
2023 Employed Civilian Population Age 25-54 (Esri),integer,26,26,"48295, 17311, 52974",
2023 Unemployed Population Age 25-54 (Esri),integer,26,26,"1731, 765, 2137",
2023 Unemployment Rate: Population Age 25-54 (Esri),float,26,19,"3.5, 4.2, 3.9",
2023 Civilian Population 55-64 in Labor Force (Esri),integer,26,26,"11817, 5269, 13009",
2023 Employed Civilian Population Age 55-64 (Esri),integer,26,26,"11480, 5115, 12840",
2023 Unemployed Population Age 55-64 (Esri),integer,26,26,"337, 154, 169",
2023 Unemployment Rate: Population Age 55-64 (Esri),float,26,18,"2.9, 1.3, 3.5",
2023 Civilian Population 65+ in Labor Force (Esri),integer,26,26,"5647, 2227, 5761",
2023 Employed Civilian Population Age 65+ (Esri),integer,26,26,"5549, 2176, 5557",
2023 Unemployed Population Age 65+ (Esri),integer,26,24,"98, 51, 204",
2023 Unemployment Rate: Population Age 65+ (Esri),float,26,22,"1.7, 2.3, 3.5",
2023 Child Economic Dependency Ratio (Esri),float,26,25,"43.4, 44.1, 43.5",
2023 Working-Age Economic Dependency Ratio (Esri),float,26,24,"48.5, 52.1, 35.0",
2023 Senior Economic Dependency Ratio (Esri),float,26,26,"42.2, 40.8, 23.8",
2023 Economic Dependency Ratio (Esri),float,26,26,"134.1, 137.0, 102.3",
2023 Hispanic Population (Esri),integer,26,26,"12864, 4587, 12338",
2023 White Non-Hispanic Population (Esri),integer,26,26,"110237, 44856, 103247",
2023 Proportion of White Population,float,26,26,"0.636395125, 0.654707866, 0.610268171",
2023 Non-White Population,integer,26,26,"62984, 23657, 65936",
2023 Black/African American Non-Hispanic Population (Esri),integer,26,26,"39552, 15812, 39111",
2023 American Indian/Alaska Native Non-Hispanic Population (Esri),integer,26,25,"553, 149, 943",
2023 Asian Non-Hispanic Population (Esri),integer,26,25,"1992, 329, 3765",
2023 Pacific Islander Non-Hispanic Population (Esri),integer,26,24,"97, 24, 206",
2023 Other Race Non-Hispanic Population (Esri),integer,26,26,"677, 238, 818",
2023 Multiple Races Non-Hispanic Population (Esri),integer,26,26,"7249, 2518, 8755",
2023 Diversity Index (Esri),float,26,25,"58.5, 56.1, 60.7",
2023 Population by Race Base (Esri),integer,26,26,"173221, 68513, 169183",
2023 Population Age 25+: Less than 9th Grade (Esri),integer,26,26,"3546, 2192, 2484",
2023 Population Age 25+: 9-12th Grade/No Diploma (Esri),integer,26,26,"7595, 5197, 6768",
2023 Population Age 25+: High School Diploma (Esri),integer,26,26,"33511, 13457, 24679",
2023 Population Age 25+: GED/Alternative Credential (Esri),integer,26,26,"6653, 4529, 5941",
2023 Population Age 25+: Some College/No Degree (Esri),integer,26,26,"21718, 8220, 23597",
2023 Population Age 25+: Some Degree,integer,26,26,"51962, 14961, 51951",
2023 Proportion of Population with Some Degree,float,26,26,"0.299975176, 0.218367317, 0.307069859",
2023 Population Age 25+: Associate Degree (Esri),integer,26,26,"12465, 5607, 14655",
2023 Population Age 25+: Bachelor Degree (Esri),integer,26,26,"25283, 6274, 24631",
2023 Population Age 25+: Graduate/Professional Degree (Esri),integer,26,26,"14214, 3080, 12665",
2023 Educational Attainment Base (Pop 25+)(Esri),integer,26,26,"124985, 48556, 115420",
"2023 Household Income less than $15,000 (Esri)",integer,26,26,"7823, 3037, 4343",
"2023 Household Income $15,000-$24,999 (Esri)",integer,26,26,"5900, 3087, 4225",
"2023 Household Income $25,000-$34,999 (Esri)",integer,26,26,"8057, 2332, 5981",
"2023 Household Income $35,000-$49,999 (Esri)",integer,26,26,"8839, 3521, 6565",
"2023 Household Income $50,000-$74,999 (Esri)",integer,26,26,"14824, 5105, 11228",
"2023 Household Income $75,000-$99,999 (Esri)",integer,26,26,"7378, 3956, 7829",
"2023 Household Income $100,000-$149,999 (Esri)",integer,26,26,"10337, 4699, 10799",
"2023 Household Income $150,000-$199,999 (Esri)",integer,26,26,"4264, 771, 7008",
"2023 Household Income $200,000 or greater (Esri)",integer,26,26,"4461, 696, 5298",
2023 Median Household Income (Esri),integer,26,26,"56703, 55929, 72822",
2023 Average Household Income (Esri),integer,26,26,"85498, 72838, 102208",
2023 Per Capita Income (Esri),integer,26,26,"35532, 28967, 38249",
2023 Households by Income Base (Esri),integer,26,26,"71883, 27204, 63276",
2023 Gini Index (Esri),float,26,23,"43.1, 40.0, 40.1",
2023 P90-P10 Ratio of Income Inequality (Esri),float,26,23,"11.8, 9.4, 9.9",
2023 P90-P50 Ratio of Income Inequality (Esri),float,26,9,"2.9, 2.3, 2.6",
2023 P50-P10 Ratio of Income Inequality (Esri),float,26,17,"4.1, 4.2, 3.8",
2023 80-20 Share Ratio of Income Inequality (Esri),float,26,23,"13.2, 12.9, 11.5",
2023 90-40 Share Ratio of Income Inequality (Esri),float,26,15,"3.0, 2.6, 2.7",
2023 Households in Low Income Tier (Esri),integer,26,26,"17014, 7077, 11012",
2023 Households in Middle Income Tier (Esri),integer,26,26,"44886, 18088, 38645",
2023 Households in Upper Income Tier (Esri),integer,26,26,"9983, 2039, 13619",
"2023 Disposable Income less than $15,000 (Esri)",integer,26,26,"8539, 3415, 4867",
"2023 Disposable Income $15,000-$24,999 (Esri)",integer,26,26,"7480, 3363, 5389",
"2023 Disposable Income $25,000-$34,999 (Esri)",integer,26,26,"8599, 2795, 6358",
"2023 Disposable Income $35,000-$49,999 (Esri)",integer,26,26,"11774, 4407, 8835",
"2023 Disposable Income $50,000-$74,999 (Esri)",integer,26,26,"14700, 6128, 12885",
"2023 Disposable Income $75,000-$99,999 (Esri)",integer,26,26,"6606, 3144, 6975",
"2023 Disposable Income $100,000-$149,999 (Esri)",integer,26,26,"9742, 3245, 12542",
"2023 Disposable Income $150,000-$199,999 (Esri)",integer,26,26,"2301, 367, 2895",
"2023 Disposable Income $200,000 or greater (Esri)",integer,26,26,"2142, 340, 2530",
2023 Median Disposable Income (Esri),integer,26,26,"49221, 48283, 59499",
"2023 Home Value less than $50,000 (Esri)",integer,26,25,"5955, 2517, 2614",
"2023 Home Value $50,000-$99,999 (Esri)",integer,26,26,"7884, 3700, 1878",
